Timestamp,X,Y,Speed,Heading,AgentCount,Density,Acc,LevelOfCrowdness,Label,
0:33:44,0.2743,19.8881,0.6275,90.4069,296,2.96,0.0385,3,0,normal
0:33:45,0.2711,19.8298,0.6158,91.2267,295,2.95,-0.0011,3,0,normal
0:33:46,0.259,19.9465,0.6211,89.4599,297,2.97,0.0146,3,0,normal
0:33:47,0.2851,19.9252,0.6228,88.3115,295,2.95,0.0068,3,0,normal
0:33:48,0.2726,19.9107,0.6247,88.3134,295,2.95,0.0159,3,0,normal
0:33:49,0.2685,20.012,0.6149,88.6368,293,2.93,-0.0009,3,0,normal
0:33:50,0.2665,20.0211,0.6327,88.4614,292,2.92,0.0306,3,0,normal
0:33:51,0.2817,20.045,0.6421,88.5252,291,2.91,0.0215,3,0,normal
0:33:52,0.2781,20.1135,0.6436,88.5952,293,2.93,0.0079,3,0,normal
0:33:53,0.281,20.2378,0.6218,89.2049,295,2.95,-0.013,3,0,normal
0:33:54,0.248,20.2347,0.6122,88.9029,294,2.94,0.0008,3,0,normal
0:33:55,0.276,20.2382,0.614,88.63,293,2.93,0.0113,3,0,normal
0:33:56,0.2773,20.2903,0.6202,89.6235,295,2.95,0.0112,3,0,normal
0:33:57,0.2941,20.295,0.6051,90.0824,296,2.96,-0.0112,3,0,normal
0:33:58,0.2841,20.3756,0.6077,89.7201,294,2.94,0.0172,3,0,normal
0:33:59,0.292,20.3011,0.618,90.2539,289,2.89,0.0322,3,0,normal
0:34:00,0.2824,20.2372,0.624,89.7648,290,2.9,0.0222,3,0,normal
0:34:01,0.2828,20.1379,0.626,90.1834,288,2.88,0.0194,3,0,normal
0:34:02,0.273,20.2418,0.6265,89.5097,286,2.86,0.0116,3,0,normal
0:34:03,0.2741,20.1751,0.6177,88.9484,287,2.87,0.0071,3,0,normal
0:34:04,0.2891,20.2443,0.6035,89.6857,292,2.92,-0.0023,3,0,normal
0:34:05,0.2959,20.2863,0.6294,89.8758,290,2.9,0.0336,3,0,normal
0:34:06,0.2786,20.3177,0.6098,89.6304,288,2.88,-0.0066,3,0,normal
0:34:07,0.2742,20.2387,0.6153,89.3397,289,2.89,0.0203,3,0,normal
0:34:08,0.2803,20.3067,0.6215,89.3992,288,2.88,-0.336,3,0,normal
0:34:09,0.2775,20.2691,0.6149,88.6811,288,2.88,-0.0016,3,0,normal
0:34:10,0.2852,20.1807,0.6017,88.8025,287,2.87,0.0088,3,0,normal
0:34:11,0.3171,20.1934,0.6065,89.2226,287,2.87,0.0183,3,0,normal
0:34:12,0.2967,20.1262,0.5889,89.3669,285,2.85,0.0023,3,0,normal
0:34:13,0.2865,20.0699,0.614,88.942,287,2.87,0.0425,3,0,normal
0:34:14,0.2963,20.135,0.6434,88.6219,282,2.82,0.0428,3,0,normal
0:34:15,0.2973,19.9861,0.6337,88.3569,277,2.77,0.0035,3,0,normal
0:34:16,0.3152,19.8539,0.6244,89.2161,277,2.77,0.0103,3,0,normal
0:34:17,0.3166,19.7811,0.6135,89.5146,275,2.75,0.0073,3,0,normal
0:34:18,0.312,19.7276,0.6114,89.8041,279,2.79,0.0019,3,0,normal
